Date,Fruit,Freshness_Score,Spoilage_Status,Units_Sold,Price_per_Unit,Store_ID,City,Distributor,Delivery_Delay_Days,Revenue,Spoiled_Flag
2025-01-12,Apple,0.79,Fresh,193,4.53,ST003,Delhi,FruityFast,1,874.2900000000001,0
2025-01-15,Apple,0.72,Fresh,42,3.77,ST004,Delhi,FruityFast,0,158.34,0
2025-01-12,Mango,0.7,Fresh,163,1.57,ST001,Delhi,FruityFast,5,255.91,0
2025-02-28,Banana,0.38,Not Fresh,75,3.19,ST001,Bangalore,QuickHarvest,5,239.25,1
2025-03-26,Banana,0.77,Fresh,136,3.41,ST001,Delhi,FruityFast,0,463.76,0
2025-01-03,Mango,0.86,Fresh,177,3.49,ST001,Delhi,AgroSupply,2,617.73,0
2025-02-19,Mango,0.36,Not Fresh,5,1.79,ST004,Mumbai,DistriFresh,5,8.95,1
2025-02-01,Orange,0.46,Not Fresh,52,4.85,ST001,Hyderabad,AgroSupply,0,252.2,1
2025-01-27,Apple,0.87,Fresh,140,4.49,ST003,Mumbai,QuickHarvest,2,628.6,0
2025-03-01,Orange,0.32,Not Fresh,55,1.1,ST004,Mumbai,FruityFast,4,60.50000000000001,1
2025-02-13,Banana,0.3,Not Fresh,16,4.47,ST004,Mumbai,FruityFast,2,71.52,1
2025-02-12,Orange,0.72,Fresh,101,2.0,ST001,Mumbai,QuickHarvest,3,202.0,0
2025-03-22,Banana,0.55,Not Fresh,59,2.24,ST002,Delhi,AgroSupply,0,132.16000000000003,1
2025-01-31,Apple,0.62,Fresh,72,4.31,ST002,Bangalore,FruityFast,0,310.32,0
2025-03-06,Apple,0.81,Fresh,157,1.18,ST003,Mumbai,FruityFast,3,185.26,0
2025-02-27,Pineapple,0.83,Fresh,80,4.86,ST003,Delhi,DistriFresh,4,388.8,0
2025-03-08,Mango,0.57,Not Fresh,88,1.35,ST004,Bangalore,FruityFast,1,118.80000000000001,1
2025-03-20,Mango,0.82,Fresh,183,4.98,ST004,Delhi,AgroSupply,2,911.34,0
2025-01-06,Banana,0.4,Not Fresh,14,3.53,ST003,Hyderabad,QuickHarvest,3,49.419999999999995,1
2025-01-07,Orange,0.86,Fresh,25,3.73,ST002,Mumbai,DistriFresh,5,93.25,0
2025-03-14,Apple,0.52,Not Fresh,18,2.68,ST001,Hyderabad,FruityFast,5,48.24,1
2025-03-14,Orange,0.94,Fresh,196,2.35,ST004,Hyderabad,FruityFast,0,460.6,0
2025-01-24,Orange,0.87,Fresh,128,3.13,ST003,Mumbai,DistriFresh,2,400.64,0
2025-03-14,Pineapple,0.54,Not Fresh,60,3.4,ST004,Mumbai,AgroSupply,3,204.0,1
2025-03-09,Banana,0.67,Fresh,97,4.82,ST001,Mumbai,AgroSupply,1,467.54,0
2025-02-04,Banana,0.94,Fresh,188,1.91,ST002,Bangalore,AgroSupply,0,359.08,0
2025-03-03,Mango,0.62,Fresh,126,4.34,ST001,Delhi,QuickHarvest,4,546.84,0
2025-02-21,Banana,0.87,Fresh,108,4.44,ST002,Mumbai,DistriFresh,0,479.52000000000004,0
2025-02-07,Pineapple,0.5,Not Fresh,51,3.75,ST002,Mumbai,FruityFast,5,191.25,1
2025-01-09,Pineapple,0.44,Not Fresh,36,4.54,ST001,Delhi,QuickHarvest,3,163.44,1
2025-02-03,Pineapple,0.72,Fresh,56,4.83,ST003,Hyderabad,DistriFresh,0,270.48,0
2025-01-16,Mango,1.0,Fresh,138,4.1,ST001,Bangalore,QuickHarvest,1,565.8,0
2025-02-22,Orange,0.36,Not Fresh,70,4.53,ST003,Delhi,DistriFresh,0,317.1,1
2025-03-21,Apple,0.8,Fresh,130,3.31,ST002,Mumbai,DistriFresh,0,430.3,0
2025-02-06,Pineapple,0.51,Not Fresh,50,3.96,ST002,Mumbai,AgroSupply,2,198.0,1
2025-01-05,Orange,0.41,Not Fresh,87,3.99,ST001,Bangalore,AgroSupply,2,347.13,1
2025-02-01,Orange,0.46,Not Fresh,93,2.19,ST004,Bangalore,AgroSupply,1,203.67,1
2025-02-18,Banana,0.64,Fresh,157,2.37,ST001,Mumbai,FruityFast,4,372.09000000000003,0
2025-03-24,Pineapple,0.91,Fresh,129,3.16,ST001,Mumbai,AgroSupply,1,407.64000000000004,0
2025-01-13,Pineapple,0.31,Not Fresh,18,1.44,ST004,Mumbai,FruityFast,3,25.919999999999998,1
2025-03-19,Mango,0.95,Fresh,82,4.56,ST001,Mumbai,DistriFresh,3,373.91999999999996,0
2025-01-09,Orange,0.88,Fresh,117,4.96,ST002,Mumbai,FruityFast,4,580.32,0
2025-01-18,Mango,0.97,Fresh,98,1.62,ST002,Bangalore,QuickHarvest,3,158.76000000000002,0
2025-01-10,Mango,0.58,Not Fresh,80,4.47,ST004,Bangalore,DistriFresh,3,357.59999999999997,1
2025-01-03,Mango,0.93,Fresh,56,1.95,ST003,Hyderabad,AgroSupply,1,109.2,0
2025-01-08,Orange,0.98,Fresh,154,2.6,ST004,Mumbai,FruityFast,1,400.40000000000003,0
2025-02-12,Mango,0.79,Fresh,23,4.21,ST002,Hyderabad,AgroSupply,1,96.83,0
2025-03-04,Banana,0.42,Not Fresh,40,2.34,ST003,Bangalore,QuickHarvest,0,93.6,1
2025-01-25,Orange,0.59,Not Fresh,89,2.24,ST001,Mumbai,FruityFast,5,199.36,1
2025-01-10,Mango,0.51,Not Fresh,6,3.88,ST001,Bangalore,AgroSupply,4,23.28,1
2025-02-06,Pineapple,0.68,Fresh,101,3.98,ST001,Hyderabad,QuickHarvest,5,401.98,0
2025-01-06,Orange,0.69,Fresh,77,1.85,ST001,Delhi,QuickHarvest,2,142.45000000000002,0
2025-02-14,Mango,0.85,Fresh,124,2.59,ST002,Mumbai,AgroSupply,3,321.15999999999997,0
2025-01-07,Mango,0.6,Fresh,74,1.82,ST002,Bangalore,AgroSupply,1,134.68,0
2025-03-27,Apple,0.73,Fresh,186,1.71,ST003,Delhi,DistriFresh,3,318.06,0
2025-04-01,Pineapple,0.62,Fresh,130,2.42,ST004,Hyderabad,AgroSupply,3,314.59999999999997,0
2025-02-22,Apple,0.84,Fresh,114,3.74,ST001,Bangalore,FruityFast,2,426.36,0
2025-01-07,Orange,0.72,Fresh,72,1.17,ST001,Delhi,FruityFast,5,84.24,0
2025-02-19,Banana,0.74,Fresh,141,1.46,ST004,Hyderabad,FruityFast,0,205.85999999999999,0
2025-03-13,Mango,0.46,Not Fresh,37,1.32,ST001,Delhi,QuickHarvest,2,48.84,1
2025-03-14,Banana,0.8,Fresh,66,2.25,ST001,Mumbai,AgroSupply,0,148.5,0
2025-01-30,Apple,0.8,Fresh,29,3.4,ST004,Hyderabad,DistriFresh,3,98.6,0
2025-02-10,Pineapple,0.82,Fresh,184,4.56,ST001,Delhi,AgroSupply,5,839.04,0
2025-01-29,Apple,0.87,Fresh,65,2.16,ST003,Hyderabad,QuickHarvest,1,140.4,0
2025-02-12,Pineapple,0.8,Fresh,160,3.22,ST003,Hyderabad,QuickHarvest,2,515.2,0
2025-02-23,Orange,0.35,Not Fresh,29,1.23,ST004,Delhi,FruityFast,1,35.67,1
2025-02-20,Orange,0.52,Not Fresh,70,1.8,ST001,Hyderabad,DistriFresh,5,126.0,1
2025-03-07,Apple,0.61,Fresh,35,2.88,ST004,Hyderabad,DistriFresh,3,100.8,0
2025-03-14,Orange,0.72,Fresh,177,1.9,ST004,Mumbai,QuickHarvest,0,336.3,0
2025-03-11,Apple,0.56,Not Fresh,21,2.09,ST003,Hyderabad,AgroSupply,4,43.89,1
2025-03-13,Orange,0.81,Fresh,37,3.76,ST003,Bangalore,QuickHarvest,5,139.12,0
2025-01-08,Mango,0.33,Not Fresh,6,2.12,ST004,Bangalore,AgroSupply,5,12.72,1
2025-01-12,Banana,0.99,Fresh,111,2.29,ST002,Hyderabad,DistriFresh,0,254.19,0
2025-03-29,Banana,0.46,Not Fresh,32,3.22,ST002,Hyderabad,QuickHarvest,3,103.04,1
2025-03-15,Mango,0.59,Not Fresh,100,1.53,ST003,Delhi,QuickHarvest,1,153.0,1
2025-03-27,Pineapple,0.97,Fresh,72,3.92,ST002,Mumbai,QuickHarvest,1,282.24,0
2025-01-26,Orange,0.79,Fresh,137,4.53,ST001,Delhi,AgroSupply,1,620.61,0
2025-01-21,Mango,0.57,Not Fresh,69,1.11,ST003,Delhi,AgroSupply,3,76.59,1
2025-03-04,Apple,0.63,Fresh,110,2.55,ST003,Mumbai,FruityFast,0,280.5,0
2025-01-12,Mango,0.65,Fresh,70,1.53,ST004,Delhi,QuickHarvest,1,107.10000000000001,0
2025-02-12,Banana,0.83,Fresh,76,3.34,ST003,Mumbai,QuickHarvest,0,253.83999999999997,0
2025-01-21,Apple,0.4,Not Fresh,10,2.99,ST003,Hyderabad,FruityFast,5,29.900000000000002,1
2025-02-04,Apple,0.49,Not Fresh,17,2.81,ST003,Bangalore,FruityFast,0,47.77,1
2025-02-05,Mango,0.74,Fresh,120,1.11,ST003,Bangalore,FruityFast,0,133.20000000000002,0
2025-01-31,Banana,0.41,Not Fresh,98,1.75,ST001,Delhi,DistriFresh,3,171.5,1
2025-01-14,Apple,0.36,Not Fresh,44,2.01,ST002,Hyderabad,AgroSupply,4,88.44,1
2025-01-25,Banana,0.5,Not Fresh,24,3.92,ST002,Hyderabad,AgroSupply,0,94.08,1
2025-02-22,Apple,1.0,Fresh,199,1.36,ST004,Delhi,DistriFresh,1,270.64000000000004,0
2025-03-07,Mango,0.57,Not Fresh,91,3.12,ST001,Mumbai,DistriFresh,2,283.92,1
2025-01-12,Pineapple,0.76,Fresh,145,1.85,ST001,Bangalore,DistriFresh,4,268.25,0
2025-02-07,Apple,0.35,Not Fresh,81,1.64,ST002,Hyderabad,QuickHarvest,2,132.84,1
2025-01-20,Mango,0.69,Fresh,124,3.62,ST003,Hyderabad,DistriFresh,4,448.88,0
2025-01-22,Banana,0.98,Fresh,38,2.68,ST002,Hyderabad,DistriFresh,2,101.84,0
2025-03-08,Orange,0.5,Not Fresh,87,3.39,ST004,Bangalore,QuickHarvest,1,294.93,1
2025-02-02,Banana,0.79,Fresh,147,1.34,ST002,Hyderabad,FruityFast,0,196.98000000000002,0
2025-02-25,Mango,0.97,Fresh,186,2.6,ST002,Bangalore,QuickHarvest,4,483.6,0
2025-02-21,Apple,0.53,Not Fresh,62,1.17,ST002,Mumbai,QuickHarvest,2,72.53999999999999,1
2025-03-09,Banana,0.43,Not Fresh,80,2.55,ST001,Hyderabad,DistriFresh,2,204.0,1
2025-01-10,Pineapple,0.7,Fresh,182,4.65,ST001,Bangalore,FruityFast,1,846.3000000000001,0
2025-03-17,Pineapple,0.7,Fresh,179,4.85,ST002,Bangalore,DistriFresh,2,868.15,0
2025-02-07,Pineapple,0.61,Fresh,141,3.32,ST003,Mumbai,FruityFast,3,468.12,0
2025-01-27,Orange,0.37,Not Fresh,35,4.71,ST004,Hyderabad,FruityFast,0,164.85,1
2025-03-28,Orange,0.9,Fresh,33,3.05,ST001,Bangalore,QuickHarvest,0,100.64999999999999,0
2025-01-20,Mango,0.48,Not Fresh,11,4.88,ST004,Mumbai,AgroSupply,1,53.68,1
2025-01-20,Mango,0.76,Fresh,95,2.0,ST004,Mumbai,AgroSupply,2,190.0,0
2025-01-26,Orange,0.97,Fresh,117,3.73,ST001,Bangalore,QuickHarvest,4,436.41,0
2025-01-16,Pineapple,0.6,Fresh,181,3.0,ST003,Mumbai,FruityFast,5,543.0,0
2025-03-20,Apple,0.51,Not Fresh,20,4.59,ST004,Delhi,AgroSupply,5,91.8,1
2025-01-26,Banana,0.69,Fresh,139,3.98,ST003,Delhi,QuickHarvest,1,553.22,0
2025-01-04,Mango,0.72,Fresh,145,4.62,ST003,Delhi,AgroSupply,4,669.9,0
2025-02-19,Mango,0.75,Fresh,168,3.84,ST002,Delhi,FruityFast,5,645.12,0
2025-02-20,Orange,0.85,Fresh,80,3.86,ST001,Delhi,AgroSupply,3,308.8,0
2025-02-04,Orange,0.85,Fresh,41,2.62,ST003,Mumbai,QuickHarvest,5,107.42,0
2025-03-02,Banana,0.38,Not Fresh,92,3.85,ST002,Bangalore,FruityFast,2,354.2,1
2025-01-06,Apple,0.66,Fresh,96,1.16,ST001,Hyderabad,QuickHarvest,4,111.35999999999999,0
2025-02-13,Banana,0.7,Fresh,59,3.18,ST003,Hyderabad,QuickHarvest,3,187.62,0
2025-03-06,Pineapple,0.81,Fresh,29,4.12,ST004,Delhi,QuickHarvest,0,119.48,0
2025-01-31,Apple,0.93,Fresh,72,3.82,ST004,Mumbai,QuickHarvest,0,275.03999999999996,0
2025-01-17,Banana,0.38,Not Fresh,26,4.07,ST002,Bangalore,AgroSupply,4,105.82000000000001,1
2025-01-20,Banana,0.54,Not Fresh,11,1.22,ST002,Bangalore,AgroSupply,4,13.42,1
2025-03-21,Pineapple,0.68,Fresh,26,2.14,ST003,Hyderabad,FruityFast,1,55.64,0
2025-02-27,Banana,0.64,Fresh,24,4.54,ST004,Mumbai,FruityFast,4,108.96000000000001,0
2025-02-21,Apple,0.68,Fresh,75,3.96,ST003,Mumbai,QuickHarvest,4,297.0,0
2025-01-12,Orange,0.83,Fresh,36,1.51,ST001,Bangalore,AgroSupply,4,54.36,0
2025-02-19,Banana,0.67,Fresh,158,1.92,ST003,Bangalore,DistriFresh,3,303.36,0
2025-01-28,Apple,0.48,Not Fresh,45,2.99,ST002,Hyderabad,QuickHarvest,3,134.55,1
2025-02-11,Apple,0.98,Fresh,79,4.2,ST004,Delhi,AgroSupply,5,331.8,0
2025-02-18,Orange,0.99,Fresh,84,3.09,ST002,Hyderabad,QuickHarvest,4,259.56,0
2025-01-30,Apple,0.95,Fresh,143,3.35,ST002,Hyderabad,QuickHarvest,0,479.05,0
2025-02-12,Pineapple,0.49,Not Fresh,56,1.64,ST003,Delhi,FruityFast,1,91.83999999999999,1
2025-03-27,Apple,0.82,Fresh,176,1.34,ST001,Hyderabad,AgroSupply,1,235.84,0
2025-02-21,Orange,0.61,Fresh,156,2.91,ST003,Mumbai,FruityFast,0,453.96000000000004,0
2025-01-22,Banana,0.5,Not Fresh,69,2.23,ST004,Mumbai,DistriFresh,4,153.87,1
2025-02-20,Apple,0.78,Fresh,90,1.49,ST004,Delhi,FruityFast,3,134.1,0
2025-02-28,Pineapple,0.67,Fresh,49,4.32,ST002,Hyderabad,QuickHarvest,0,211.68,0
2025-01-10,Pineapple,0.91,Fresh,98,1.56,ST003,Hyderabad,FruityFast,4,152.88,0
2025-01-15,Banana,0.43,Not Fresh,85,2.46,ST001,Hyderabad,QuickHarvest,2,209.1,1
2025-03-29,Orange,0.92,Fresh,177,1.88,ST004,Mumbai,AgroSupply,5,332.76,0
2025-03-02,Apple,0.41,Not Fresh,40,2.45,ST003,Delhi,DistriFresh,3,98.0,1
2025-02-08,Pineapple,0.59,Not Fresh,77,3.83,ST004,Bangalore,DistriFresh,3,294.91,1
2025-01-14,Orange,0.47,Not Fresh,45,4.02,ST003,Hyderabad,DistriFresh,1,180.89999999999998,1
2025-01-20,Orange,0.35,Not Fresh,70,3.9,ST001,Delhi,QuickHarvest,4,273.0,1
2025-01-04,Pineapple,0.44,Not Fresh,43,1.34,ST002,Hyderabad,DistriFresh,0,57.620000000000005,1
2025-03-26,Pineapple,0.32,Not Fresh,34,4.35,ST001,Bangalore,DistriFresh,4,147.89999999999998,1
2025-02-23,Mango,0.63,Fresh,20,4.06,ST002,Hyderabad,QuickHarvest,3,81.19999999999999,0
2025-02-27,Pineapple,0.31,Not Fresh,92,1.81,ST003,Hyderabad,QuickHarvest,2,166.52,1
2025-01-14,Apple,0.57,Not Fresh,76,2.76,ST001,Mumbai,DistriFresh,2,209.76,1
2025-01-11,Pineapple,0.37,Not Fresh,87,1.93,ST004,Mumbai,FruityFast,5,167.91,1
2025-03-02,Orange,0.32,Not Fresh,38,3.21,ST003,Delhi,FruityFast,5,121.98,1
2025-02-23,Mango,0.41,Not Fresh,92,1.26,ST001,Hyderabad,AgroSupply,4,115.92,1
2025-03-23,Banana,0.9,Fresh,182,2.46,ST002,Hyderabad,FruityFast,3,447.71999999999997,0
2025-02-08,Banana,0.36,Not Fresh,82,3.28,ST001,Hyderabad,DistriFresh,0,268.96,1
2025-02-23,Orange,0.45,Not Fresh,11,3.47,ST002,Mumbai,AgroSupply,3,38.17,1
2025-03-18,Banana,0.76,Fresh,111,1.16,ST003,Hyderabad,QuickHarvest,3,128.76,0
2025-01-04,Pineapple,0.58,Not Fresh,19,4.6,ST001,Bangalore,QuickHarvest,1,87.39999999999999,1
2025-03-30,Orange,0.57,Not Fresh,71,3.15,ST004,Bangalore,AgroSupply,2,223.65,1
2025-01-14,Apple,0.97,Fresh,22,2.87,ST004,Mumbai,FruityFast,3,63.14,0
2025-02-14,Banana,0.76,Fresh,180,2.51,ST003,Hyderabad,QuickHarvest,2,451.79999999999995,0
2025-01-08,Banana,0.6,Fresh,196,2.56,ST004,Delhi,DistriFresh,1,501.76,0
2025-03-28,Apple,0.49,Not Fresh,39,4.79,ST001,Delhi,FruityFast,1,186.81,1
2025-02-25,Orange,0.8,Fresh,64,1.92,ST003,Delhi,QuickHarvest,1,122.88,0
2025-02-15,Pineapple,0.34,Not Fresh,50,4.73,ST004,Bangalore,AgroSupply,4,236.50000000000003,1
2025-02-07,Apple,0.83,Fresh,82,4.64,ST003,Mumbai,AgroSupply,0,380.47999999999996,0
2025-03-27,Orange,0.59,Not Fresh,36,2.66,ST001,Hyderabad,DistriFresh,0,95.76,1
2025-02-16,Orange,0.85,Fresh,123,3.52,ST004,Bangalore,DistriFresh,0,432.96,0
2025-02-08,Pineapple,0.94,Fresh,47,3.33,ST001,Delhi,AgroSupply,1,156.51,0
2025-02-02,Orange,0.66,Fresh,137,3.39,ST001,Bangalore,AgroSupply,2,464.43,0
2025-01-05,Mango,0.35,Not Fresh,47,2.99,ST004,Bangalore,FruityFast,0,140.53,1
2025-02-26,Apple,0.77,Fresh,102,3.52,ST004,Bangalore,DistriFresh,3,359.04,0
2025-03-26,Mango,0.34,Not Fresh,25,4.49,ST001,Hyderabad,AgroSupply,1,112.25,1
2025-01-15,Orange,0.36,Not Fresh,56,3.53,ST001,Hyderabad,AgroSupply,2,197.67999999999998,1
2025-01-30,Pineapple,0.34,Not Fresh,72,3.94,ST001,Delhi,DistriFresh,1,283.68,1
2025-02-12,Orange,0.82,Fresh,157,3.14,ST001,Hyderabad,AgroSupply,3,492.98,0
2025-02-24,Pineapple,0.56,Not Fresh,80,1.89,ST004,Delhi,FruityFast,4,151.2,1
2025-01-02,Pineapple,0.56,Not Fresh,18,3.23,ST004,Delhi,AgroSupply,5,58.14,1
2025-03-25,Apple,0.35,Not Fresh,11,3.2,ST004,Hyderabad,QuickHarvest,3,35.2,1
2025-03-13,Pineapple,0.34,Not Fresh,90,4.15,ST004,Hyderabad,FruityFast,2,373.50000000000006,1
2025-03-26,Banana,0.69,Fresh,20,4.53,ST003,Delhi,DistriFresh,2,90.60000000000001,0
2025-03-27,Pineapple,0.77,Fresh,180,3.18,ST001,Hyderabad,DistriFresh,0,572.4,0
2025-02-19,Mango,0.35,Not Fresh,8,3.43,ST004,Hyderabad,AgroSupply,5,27.44,1
2025-01-25,Pineapple,0.88,Fresh,73,2.44,ST001,Mumbai,QuickHarvest,1,178.12,0
2025-02-01,Banana,0.44,Not Fresh,11,1.33,ST002,Mumbai,QuickHarvest,1,14.63,1
2025-03-07,Apple,0.94,Fresh,34,2.25,ST002,Mumbai,QuickHarvest,5,76.5,0
2025-02-10,Banana,0.44,Not Fresh,79,4.37,ST002,Delhi,QuickHarvest,3,345.23,1
2025-03-04,Pineapple,0.43,Not Fresh,17,4.09,ST003,Delhi,FruityFast,2,69.53,1
2025-01-06,Orange,0.95,Fresh,200,4.8,ST001,Hyderabad,AgroSupply,3,960.0,0
2025-03-05,Mango,0.39,Not Fresh,38,1.17,ST004,Mumbai,DistriFresh,1,44.459999999999994,1
2025-03-28,Apple,0.62,Fresh,50,1.27,ST004,Mumbai,AgroSupply,2,63.5,0
2025-01-27,Mango,0.69,Fresh,64,1.77,ST003,Mumbai,QuickHarvest,2,113.28,0
2025-01-26,Pineapple,1.0,Fresh,107,1.46,ST001,Bangalore,QuickHarvest,2,156.22,0
2025-01-18,Mango,0.63,Fresh,116,1.55,ST004,Delhi,AgroSupply,4,179.8,0
2025-03-21,Orange,0.42,Not Fresh,86,1.26,ST004,Hyderabad,DistriFresh,2,108.36,1
2025-01-23,Pineapple,0.52,Not Fresh,78,2.45,ST004,Mumbai,AgroSupply,3,191.10000000000002,1
2025-03-22,Banana,0.54,Not Fresh,64,4.8,ST004,Mumbai,DistriFresh,4,307.2,1
2025-01-01,Mango,0.85,Fresh,61,3.71,ST003,Mumbai,QuickHarvest,4,226.31,0
2025-01-05,Apple,0.84,Fresh,51,2.11,ST003,Mumbai,DistriFresh,2,107.61,0
2025-01-16,Pineapple,0.77,Fresh,20,3.57,ST004,Mumbai,AgroSupply,3,71.39999999999999,0
2025-01-03,Orange,0.82,Fresh,21,3.07,ST001,Hyderabad,DistriFresh,3,64.47,0
2025-01-28,Apple,0.61,Fresh,62,4.44,ST003,Bangalore,FruityFast,1,275.28000000000003,0
2025-03-18,Mango,0.89,Fresh,33,4.73,ST002,Mumbai,FruityFast,5,156.09,0
2025-01-18,Orange,0.32,Not Fresh,7,4.55,ST001,Hyderabad,AgroSupply,2,31.849999999999998,1
2025-03-07,Apple,0.81,Fresh,83,1.09,ST001,Delhi,AgroSupply,4,90.47000000000001,0
2025-01-22,Pineapple,0.87,Fresh,103,1.62,ST002,Delhi,AgroSupply,5,166.86,0
2025-03-18,Mango,0.59,Not Fresh,44,2.22,ST002,Bangalore,AgroSupply,4,97.68,1
2025-01-06,Banana,0.39,Not Fresh,16,4.66,ST002,Bangalore,AgroSupply,1,74.56,1
2025-02-15,Mango,0.38,Not Fresh,8,2.6,ST003,Mumbai,FruityFast,5,20.8,1
2025-02-09,Banana,0.66,Fresh,29,3.72,ST003,Hyderabad,DistriFresh,5,107.88000000000001,0
2025-01-28,Pineapple,0.72,Fresh,75,2.84,ST002,Hyderabad,AgroSupply,2,213.0,0
2025-03-01,Pineapple,0.62,Fresh,140,2.72,ST002,Bangalore,DistriFresh,4,380.8,0
2025-03-17,Orange,0.59,Not Fresh,80,3.25,ST004,Bangalore,QuickHarvest,5,260.0,1
2025-01-03,Orange,0.98,Fresh,126,3.49,ST004,Bangalore,AgroSupply,3,439.74,0
2025-02-01,Apple,0.33,Not Fresh,55,4.53,ST002,Mumbai,FruityFast,3,249.15,1
2025-03-08,Mango,0.43,Not Fresh,82,1.41,ST003,Bangalore,FruityFast,2,115.61999999999999,1
2025-03-21,Pineapple,0.57,Not Fresh,33,1.57,ST002,Mumbai,QuickHarvest,0,51.81,1
2025-04-01,Apple,0.46,Not Fresh,76,4.89,ST003,Bangalore,DistriFresh,2,371.64,1
2025-03-11,Mango,0.46,Not Fresh,12,3.17,ST003,Hyderabad,AgroSupply,1,38.04,1
2025-03-18,Pineapple,0.63,Fresh,24,2.67,ST002,Bangalore,QuickHarvest,1,64.08,0
2025-01-22,Orange,0.94,Fresh,177,1.84,ST002,Delhi,DistriFresh,5,325.68,0
2025-01-29,Mango,0.73,Fresh,82,4.42,ST002,Mumbai,DistriFresh,2,362.44,0
2025-01-06,Mango,0.39,Not Fresh,43,2.99,ST003,Delhi,DistriFresh,4,128.57000000000002,1
2025-03-11,Pineapple,0.91,Fresh,102,3.29,ST004,Delhi,DistriFresh,5,335.58,0
2025-03-15,Orange,0.92,Fresh,110,3.69,ST001,Hyderabad,FruityFast,4,405.9,0
